Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
12.0,2006.0,80.0,4136.0,2896.0,8253.0,76.0,51.0,80.0,322.0,477.0,1.0,10.0
12.0,2008.0,80.0,1568.0,1276.0,3552.0,82.0,73.0,83.0,709.0,477.0,1.0,10.0
12.0,2009.0,80.0,1561.0,1093.0,3277.0,80.0,73.0,80.0,192.0,477.0,1.0,4.0
2.0,2006.0,80.0,1128.0,914.0,2980.0,89.0,65.0,85.0,431.0,477.0,1.0,6.0
12.0,2006.0,80.0,1396.0,918.0,2892.0,58.0,41.0,66.0,129.0,477.0,1.0,10.0
12.0,2009.0,80.0,1444.0,694.0,2832.0,87.0,80.0,84.0,594.0,477.0,1.0,3.0
2.0,2005.0,80.0,971.0,747.0,2321.0,91.0,64.0,86.0,464.0,477.0,1.0,0.0
12.0,2007.0,80.0,892.0,802.0,2270.0,80.0,63.0,77.0,146.0,477.0,1.0,0.0
14.0,2010.0,71.0,1500.0,488.0,2181.0,61.0,45.0,63.0,106.0,293.0,1.0,0.0
12.0,2009.0,80.0,901.0,849.0,2179.0,80.0,33.0,74.0,52.0,477.0,1.0,5.0
8.0,2013.0,117.0,702.0,909.0,2104.0,97.0,50.0,82.0,3994.0,590.0,4.0,6.0
7.0,2004.0,117.0,943.0,40.0,2081.0,95.0,80.0,90.0,1588.0,590.0,4.0,8.0
2.0,2005.0,80.0,474.0,919.0,2014.0,77.0,58.0,79.0,50.0,477.0,1.0,8.0
14.0,2013.0,117.0,966.0,514.0,1627.0,97.0,58.0,81.0,3711.0,590.0,4.0,0.0
7.0,2002.0,117.0,841.0,549.0,1614.0,95.0,62.0,87.0,730.0,590.0,4.0,2.0
2.0,2005.0,80.0,343.0,535.0,1529.0,77.0,37.0,71.0,19.0,477.0,1.0,8.0
7.0,2001.0,101.0,685.0,509.0,1498.0,95.0,54.0,84.0,314.0,532.0,1.0,9.0
14.0,2011.0,5.0,903.0,424.0,1473.0,88.0,81.0,34.0,8713.0,346.0,4.0,8.0
14.0,2010.0,5.0,969.0,368.0,1461.0,87.0,89.0,63.0,1454.0,742.0,4.0,0.0
8.0,2012.0,5.0,499.0,573.0,1379.0,83.0,21.0,53.0,922.0,742.0,4.0,4.0
14.0,2012.0,5.0,825.0,424.0,1367.0,83.0,73.0,48.0,2256.0,742.0,4.0,6.0
14.0,2009.0,5.0,852.0,359.0,1347.0,94.0,100.0,63.0,2698.0,345.0,4.0,8.0
8.0,2011.0,5.0,554.0,573.0,1332.0,88.0,39.0,32.0,5234.0,346.0,4.0,0.0
7.0,2001.0,117.0,699.0,451.0,1310.0,97.0,56.0,85.0,664.0,176.0,4.0,8.0
12.0,2008.0,80.0,662.0,254.0,1284.0,93.0,81.0,89.0,1662.0,276.0,5.0,3.0
0.0,2011.0,80.0,503.0,401.0,1266.0,85.0,73.0,82.0,632.0,583.0,1.0,4.0
8.0,2010.0,5.0,599.0,437.0,1263.0,88.0,58.0,64.0,1094.0,742.0,4.0,8.0
9.0,2014.0,117.0,396.0,631.0,1261.0,97.0,66.0,83.0,2899.0,590.0,4.0,7.0
2.0,2005.0,80.0,250.0,345.0,1213.0,86.0,57.0,87.0,242.0,477.0,1.0,8.0
14.0,2007.0,71.0,797.0,281.0,1212.0,94.0,86.0,78.0,4100.0,121.0,4.0,6.0
7.0,2004.0,101.0,301.0,1.0,1166.0,89.0,74.0,85.0,272.0,532.0,1.0,9.0
12.0,2007.0,80.0,606.0,335.0,1135.0,97.0,73.0,89.0,2147.0,477.0,1.0,3.0
14.0,2008.0,117.0,676.0,307.0,1101.0,98.0,86.0,79.0,2951.0,590.0,4.0,10.0
6.0,1997.0,101.0,401.0,387.0,1095.0,96.0,16.0,87.0,138.0,532.0,1.0,8.0
0.0,2011.0,80.0,488.0,300.0,1081.0,90.0,82.0,84.0,921.0,477.0,1.0,3.0
8.0,2010.0,101.0,296.0,482.0,1070.0,84.0,82.0,75.0,1112.0,532.0,1.0,3.0
8.0,2009.0,5.0,499.0,364.0,1060.0,94.0,67.0,63.0,2073.0,345.0,4.0,0.0
8.0,2008.0,117.0,476.0,369.0,1050.0,98.0,64.0,75.0,2833.0,590.0,4.0,9.0
14.0,2013.0,5.0,673.0,256.0,1025.0,73.0,29.0,26.0,2117.0,345.0,4.0,0.0
12.0,2011.0,126.0,595.0,311.0,1011.0,74.0,15.0,78.0,16.0,754.0,2.0,8.0
0.0,2012.0,80.0,366.0,314.0,990.0,78.0,70.0,72.0,424.0,477.0,1.0,10.0
14.0,2010.0,71.0,704.0,195.0,986.0,91.0,99.0,79.0,2045.0,119.0,4.0,8.0
6.0,1997.0,101.0,301.0,247.0,972.0,92.0,20.0,92.0,1282.0,678.0,5.0,8.0
14.0,2012.0,71.0,665.0,227.0,971.0,87.0,87.0,70.0,3260.0,8.0,4.0,6.0
6.0,1999.0,101.0,388.0,342.0,949.0,93.0,23.0,90.0,135.0,532.0,5.0,3.0
12.0,2010.0,126.0,580.0,285.0,944.0,74.0,24.0,73.0,24.0,754.0,2.0,8.0
